"filename", "language", "JavaScript", "CSS", "XML", "JavaScript JSX", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Uta_market\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\Admin\Downloads\Uta_market\package-lock.json", "JSON", 0, 0, 0, 0, 18165, 0, 0, 0, 1, 18166
"c:\Users\Admin\Downloads\Uta_market\package.json", "JSON", 0, 0, 0, 0, 45, 0, 0, 0, 1, 46
"c:\Users\Admin\Downloads\Uta_market\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\Admin\Downloads\Uta_market\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Admin\Downloads\Uta_market\src\App.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 1, 5, 9
"c:\Users\Admin\Downloads\Uta_market\src\App.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 1, 7, 45
"c:\Users\Admin\Downloads\Uta_market\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Downloads\Uta_market\src\Components\ChangePassword.css", "CSS", 0, 31, 0, 0, 0, 0, 0, 1, 6, 38
"c:\Users\Admin\Downloads\Uta_market\src\Components\Dashboard.css", "CSS", 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Admin\Downloads\Uta_market\src\Components\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\Admin\Downloads\Uta_market\src\Components\Editorders.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 2, 3, 15
"c:\Users\Admin\Downloads\Uta_market\src\Components\Editposts.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 2, 3, 15
"c:\Users\Admin\Downloads\Uta_market\src\Components\HomePage.css", "CSS", 0, 20, 0, 0, 0, 0, 0, 0, 10, 30
"c:\Users\Admin\Downloads\Uta_market\src\Components\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 55, 0, 0, 0, 4, 13, 72
"c:\Users\Admin\Downloads\Uta_market\src\Components\Item.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Admin\Downloads\Uta_market\src\Components\Itemlist.css", "CSS", 0, 27, 0, 0, 0, 0, 0, 1, 6, 34
"c:\Users\Admin\Downloads\Uta_market\src\Components\Itemlist.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 0, 0, 1, 4, 27
